"<relative-time class=""no-wrap"" datetime=""2017-09-26T08:41:08Z"">Sep 26, 2017</relative-time>","After this contextual explanation, my question is simple - would this feature support projects who's .git folder is an ancestor of their root? If so, then it would be possible to use this feature in a mono-repo.This is already supported since quite a long time, if you simply open a subfolder of a git repo.",
"<relative-time class=""no-wrap"" datetime=""2017-09-26T20:47:26Z"">Sep 26, 2017</relative-time>","+1Sublime and Atom do it you should to. No better reason. This is the NEW MS, get it done guys, i have complete faith in you. :)",
"<relative-time class=""no-wrap"" datetime=""2017-09-27T13:00:14Z"">Sep 27, 2017</relative-time>","Hello,<br/>@inestyne if you please read prior posts like from @Jeyanthinath you would be aware of using <a data-hovercard-type=""issue"" data-hovercard-url=""/microsoft/vscode/issues/396/hovercard"" href=""https://github.com/Microsoft/vscode/issues/396#issuecomment-331775882"">VSCode Insiders to evaluate this feature already. There is even a <a data-hovercard-type=""issue"" data-hovercard-url=""/microsoft/vscode/issues/28344/hovercard"" href=""https://github.com/Microsoft/vscode/issues/28344"">roadmap to check. So please use the product and provide feedback before it migrates to stable so we all get the best product possible. Thank you. Good day.",
"<relative-time class=""no-wrap"" datetime=""2017-09-27T13:50:04Z"">Sep 27, 2017</relative-time>",Just read the thread and use Insiders OMG. I'm gonna unsubscribe... you trolls that doesn't read are impossible. Thanks @pr-yemibedu,
"<relative-time class=""no-wrap"" datetime=""2017-09-27T14:37:05Z"">Sep 27, 2017</relative-time>",Sensitive,
"<relative-time class=""no-wrap"" datetime=""2017-10-06T19:01:04Z"">Oct 6, 2017</relative-time>","Since this thread is 2 years long, and the feature seems to be in the Insiders' build now, is there a way to mark this thread so that is more obvious than reading the entire thread from the top?",
"<relative-time class=""no-wrap"" datetime=""2017-10-20T20:34:23Z"">Oct 20, 2017</relative-time>",One thing that is missing is the ability to open up a new window with a new workspace from the CLI.,
"<relative-time class=""no-wrap"" datetime=""2017-10-20T23:21:10Z"">Oct 20, 2017</relative-time>","@jearle A new window/workspace should be created as before with code-insiders &lt;folder&gt;, no?<br/>code-insiders -a &lt;folder&gt; is needed to add the folder to the current window.",
"<relative-time class=""no-wrap"" datetime=""2017-10-21T01:08:45Z"">Oct 21, 2017</relative-time>",@Jeyanthinath thanks! Been doing the same thing as @JamesTheHacker and it will help me!,
"<relative-time class=""no-wrap"" datetime=""2017-10-23T14:53:50Z"">Oct 23, 2017</relative-time>","@Tyriar to get the functionality I wanted I have to execute the following commands:code .; code -a .code . opens the folder as a non workspace, and then the code -a . attaches it's self to the previously open window as a workspace allowing me to open the same folder more than once.",
"<relative-time class=""no-wrap"" datetime=""2017-10-27T16:44:10Z"">Oct 27, 2017</relative-time>","I personally think this also needs to be changed. I am working with ionic and a custom server in two different git repos and it's not very easy. The ability to at least have two separate ""project tabs"" open or something would be great.I switched from Atom because of how buggy and slow it was.",
"<relative-time class=""no-wrap"" datetime=""2017-10-27T16:50:50Z"">Oct 27, 2017</relative-time>",@dark-swordsman you can enable nativeTabs on mac,
"<relative-time class=""no-wrap"" datetime=""2017-10-30T14:58:44Z"">Oct 30, 2017</relative-time>","@felixfbecker is this possible on Windows?Edit: I searched through the settings file completely and there is no option for that. That's why I'm asking.Edit2: Also, there isn't a clear resource on how to enable vs insiders",
"<relative-time class=""no-wrap"" datetime=""2017-10-30T17:04:07Z"">Oct 30, 2017</relative-time>","Hello,<br/>@dark-swordsman you do not enable VS Insiders. It is a build of VSCode that has some extra features that have not finalized to stable and in a way gives you an extra editor namespace to work with (You can install them side by side without conflicts of settings or extensions). Thank you. Good day.",
